customer_id,date,consumption_kwh,temperature_c,peak_load_kwh,load_factor,is_weekend,is_holiday,is_anomaly
CUST_00001,2023-01-01,475.398,25.91,45.104,0.4392,1,1,0
CUST_00001,2023-01-02,1191.969,25.23,106.152,0.4679,0,0,0
CUST_00001,2023-01-03,1380.375,24.5,126.2,0.4557,0,0,0
CUST_00001,2023-01-04,1402.451,25.64,137.772,0.4241,0,0,0
CUST_00001,2023-01-05,1102.557,25.14,101.468,0.4528,0,0,0
CUST_00001,2023-01-06,1172.364,24.87,112.57,0.4339,0,0,0
CUST_00001,2023-01-07,728.409,24.41,61.648,0.4923,1,0,0
CUST_00001,2023-01-08,704.041,25.41,57.691,0.5085,1,0,0
CUST_00001,2023-01-09,1313.912,25.17,117.589,0.4656,0,0,0
CUST_00001,2023-01-10,1228.16,25.49,102.733,0.4981,0,0,0
CUST_00001,2023-01-11,1413.502,24.42,131.492,0.4479,0,0,0
CUST_00001,2023-01-12,1405.458,26.27,137.791,0.425,0,0,0
CUST_00001,2023-01-13,1332.714,25.23,119.815,0.4635,0,0,0
CUST_00001,2023-01-14,796.472,25.27,68.38,0.4853,1,0,0
CUST_00001,2023-01-15,759.441,25.19,64.547,0.4902,1,0,0
CUST_00001,2023-01-16,1242.061,25.13,103.984,0.4977,0,0,0
CUST_00001,2023-01-17,1375.946,24.77,115.682,0.4956,0,0,0
CUST_00001,2023-01-18,1236.595,26.02,104.848,0.4914,0,0,0
CUST_00001,2023-01-19,1436.523,25.13,141.289,0.4236,0,0,0
CUST_00001,2023-01-20,1339.732,24.86,127.265,0.4386,0,0,0
CUST_00001,2023-01-21,1502.838,26.19,146.785,0.4266,1,0,1
CUST_00001,2023-01-22,456.687,26.98,39.62,0.4803,1,1,0
CUST_00001,2023-01-23,,26.07,143.33,0.4321,0,0,0
CUST_00001,2023-01-24,1340.37,25.89,113.503,0.492,0,0,0
CUST_00001,2023-01-25,1313.648,25.69,121.762,0.4495,0,0,0
CUST_00001,2023-01-26,1325.001,26.09,130.432,0.4233,0,0,0
CUST_00001,2023-01-27,1424.792,26.46,130.715,0.4542,0,0,0
CUST_00001,2023-01-28,775.427,26.5,73.794,0.4378,1,0,0
CUST_00001,2023-01-29,780.129,26.21,69.104,0.4704,1,0,0
CUST_00001,2023-01-30,1423.811,25.8,133.555,0.4442,0,0,0
CUST_00001,2023-01-31,1616.087,26.91,140.12,0.4806,0,0,0
CUST_00001,2023-02-01,1338.093,27.18,115.413,0.4831,0,0,0
CUST_00001,2023-02-02,1329.637,26.92,126.237,0.4389,0,0,0
CUST_00001,2023-02-03,1299.392,27.48,117.172,0.4621,0,0,0
CUST_00001,2023-02-04,804.093,26.19,70.322,0.4764,1,0,0
CUST_00001,2023-02-05,837.63,27.08,70.998,0.4916,1,0,0
CUST_00001,2023-02-06,1387.551,26.72,113.358,0.51,0,0,0
CUST_00001,2023-02-07,1309.494,24.87,110.866,0.4921,0,0,0
CUST_00001,2023-02-08,1314.58,26.93,126.096,0.4344,0,0,0
CUST_00001,2023-02-09,1484.434,26.85,135.014,0.4581,0,0,0
CUST_00001,2023-02-10,1498.717,26.79,123.699,0.5048,0,0,0
CUST_00001,2023-02-11,813.923,26.75,73.694,0.4602,1,0,0
CUST_00001,2023-02-12,740.401,25.66,65.641,0.47,1,0,0
